userName,score,at,content
Andryan S,1,10/27/2023 3:25,Buffering lemot ngelag kumplir pokonya paling aga lancar jam 1 malem sampe jam 5 Pagi siang sore malem lemot banget tower dimana mana jaringan di perluas percuma kalo lomot ga guna. Jadi harus nunggu jam 1 malem gitu biar lancar parahhh banget
Ptg Cell,1,10/20/2023 0:47,"15:38 Seharusnya sistem penggunaan kuota di mytelkomsel ini seperti sistem penggunaan kuota di axsisnet yaitu: kalau pengguna mytelkomsel mempunyai 2 macam kuota, yaitu kuota dengan masa aktif yang lama (contoh nya sebulan)dan kuota dengan masa aktif yang tidak lama (contoh beberapa hari) saat menggunakan data,yg seharusnya yg terpotong itu kuota yg masa aktif nya tidak lama jangan ke 2 nya terpotong,masak udah abdet berkali kali tapi tidak ada perubahan dalam masalah penggunaan kuota"
Salman Al-Farisi,2,10/23/2023 22:47,"Perbaikan lagi dong min dah beberapa kali beli kuota keterangan dah masuk,masak yang di sedot pulsanya,aneh bangett,masa harus direstart atau kalo nggak nunggu 10 menitan,baru yang kesedot kuotanya.tolong perbaikan lagi,sangat merugikan karena nyedot pulsa🙏🙏🙏"
Mastur,1,10/25/2023 20:18,kenapa pulsa saya ke potong terus... setiap isi pulsa ke potong.. saya komplen... tolong di perbaiki lg... jangan cuma mahal nya doang... makin lama makin tidak suka saya sma telkomsel... trimakasih
Gede jaya,1,10/22/2023 6:48,"Makin parah saja, beli paket internet promo untuk saya berhari hari coba beli tp tetap saja tidak bisa dibeli padahal pulsa melebihi harga paket sudah, parah!!!"
Hanny Satrio,1,10/15/2023 16:39,Agak mengecewakan Terlebih khusus buat Indihome Yg pembayaran Tiap bulan nya Mahal Tetali gk sesuai dngn Jaringan Yg Di berikan. Terkadang Jaringan yg Di beri Suka Ngelag Stuck Atau pun Delay. Tolong di perbaiki masalah seperti ini Jangan cuma Ambil untung nya tetapi tidak Memuas kan Custumer!!!
Yusuf Amri,1,10/26/2023 22:23,"Mau beli paket gagal terus. Sisa kuota internet tidak diupdate, tiba-tiba habis. Aplikasi minta update, setelah diupdate malah error g bisa login. Malah nomor simcard dikira sudah non-aktif."
amirul adli,1,10/28/2023 12:55,"Saya kasi bintang satu karena Telkomsel masih banyak kurang,tadi saya isi pulsa 10 ribu berhasil masuk, dan ketika saya cek pulsa tinggal 5 ribu,saya rugi jadi nya,mohon developper supaya aplikasi ini di perbaiki lagi"
Deeva No,1,10/24/2023 12:39,"Beli paket Telfon 45mnt 1 hari di aplikasi. Tapi yang digunakan pulsa regular sampai habis, setelah itu digunakan paket telfonnya. Lalu hanya berlalu 3 jam. Lebih baik gunakan provider lain"
Bang Awi,1,10/26/2023 23:02,Nggak Jaringan nggak Aplikasi.... Telkomsel akhir akhir ini Sungguh mengecewakan... Transaksi tertunda Gara gara Jaringan dan Aplikasi yang Bobrok... TF Pulsa tidak muncul Hasil Transaksi Sedangkan pulsa sudah terpotong.... memang bobrok Banget Telkomsel... Mending M3 Meskipun di pelosok Jaringan tetap stabil
ꦫ꧀꧉ꦧꦸꦢꦶ ꦮꦶꦢꦶꦪꦤꦠ,1,10/24/2023 16:57,"Anjir makin kesini makin banyak telpon masuk,padahal ni nomor hanya di ambil buat paket data doank,tp yang telpon sehari ada 10 nomor berbeda,telpn rumah atau ponsel,berasa di teror sama telkomsel,kok bisa ya,tp ga aneh lagi sih kl telkomsell,makin menjijikan aja,provider terhebat tapi kek gini,dah nyedotin pulsa kedok sms dr subway,cfc dan sejenisnya,kini teror telpon"
Luky Putra,3,10/25/2023 21:18,"untuk fitur sudah bagus, tapi untuk performa aplikasi sangat buruk, sering drop/gangguan dan loading lama tetapi jaringan saya 4G+"
Pirate King,1,10/24/2023 19:08,"Jelek si soal penggunaan datanya. masa di kasih bonus 5 gb 1 hari, trus yang di gunain kouta lokal dulu ada 7gb masih aktif 30 hari. ya kali sama aja bohong kasih bonusnya. Mending gak usah kasih bonus bikin jengkel orang saja + Paket ga bisa di hapus paket tiap hari nyedot pulsa lagi, bikin emosi orang aja lama lama telkomsel"
gondre only,5,10/17/2023 13:50,"so far so good, sama masukkan aja kalau bisa widgetnya itu real time jadi Pulsa sama Quota jadi up to date. Ga perlu lagi mencet reset setiap kali mau ngecek sisa Pulsa sama Quota"
andre rivaldi,1,10/20/2023 20:25,di update bukannya makin bagus malah ngeblur2 gambarnya.... mau beli paket pun gak bisa memilih paket lainnya kayak biasanya.... pokoknya sejak baru di update malah jadi kacau lh....
jenal munawar,4,10/29/2023 8:06,"Sesudah diupdate kenapa aplikasi ini gk bisa d buka yaah di hp, pas mau masuk keluar terus ada info suruh diupdate tetep aja gk bisa masuk sebelum diupdate masih bisa, tolong solusinya...."
Intan Alghiffari,5,10/23/2023 16:11,Mohon ma'af ni kenapa habis update ke versi terbaru jadi lemot bgini jaringan nya ? Nyesal update kalo bgini mending yg sebelumnya lebih baik jaringan stabil. 😐😐😐
Leleng Fatukaloba,2,10/24/2023 23:39,"Kurang puas dengan My Telkomsel masa saya beli paketan internet kombo sakti gigamax 15gb malah dibagi buat kuota aplikasi dan kuota internasional,trus kuota internasional cuman 3gb,kuota aplikasi 12gb sakit hati tau gk kuota internasional nya habis kuota aplikasi nya gk bisa digunakan,wa gk bisa,FB gk bisa, YouTube gk bisa ,semua gk bisa trus kalo gk bisa jangan di golongkan gtu dong pelanggan Telkomsel jadi kecewa kan,jadi males gw make Telkomsel"
Dede Oktaviyanto,1,10/25/2023 20:06,"Parah jaringan edge udah kayak zaman Nokia 3310 aj Sudah 11 hari jaringan ok sinyal full tapi koneksi internet tulisan nya E mana bisa di pake buat wa,komplen via email chat sama bot buat laporan sampai detik ini gak ada perubahan padahal jarak dr rumah ke tower gak sampai 200m"
Nur Janah,3,10/25/2023 21:44,Saya sebenarnya gamau ngomong disini tapi karna veronika juga ga bisa bntu ya ini pilihan satu satunya. Jadi saya beli pulsa di beranda bener pulsanya tapi waktu di ikon belanja pulsa saya cuma 700 rupiah alhasil saya ga bisa transfer pulsa udah di refresh berkali kali tetep sama padahal jaringan saya aman loh
Sugi Hartono wae,1,10/25/2023 19:53,"kok makin kesini malah makin kesana, 10tahun lebih setia pake telkomsel, tapi kok makin makin kesini makin sulit, apk mytlkomsel sulit diakses, berat, lemot, paket data dan tlfon naik terus, tolonglah benahi biar tambah sayang"
Nur,1,10/29/2023 10:21,SETELAH UPDATE KENAPA MAKIN LEMOT?! mau buka mytelkomsel pun ga bisa. Tolonglah ubah jadi lebih simpel lagi tampilannya agar tidak berat.
rusdian gayor,1,10/25/2023 22:29,"Sesuka memotong pulsa pelanggan. Apa Telkomsel mengambil untung memotong pulsa pelanggan ya. Sangat tidak di rekomendasi. Maling yg berdasi. Dasar anying. 👎👎👎👎👎👎👎 tutup aja Telkomsel. Makin parah jaringan ya. Pada hal sy domisili di kota besar. Tapi jaringan putus,, pasti ada korupsi ni. 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Uda peke PERSI yg terbaru makin lemot aplikasi terlalu banyak kurupsi ni Telkomsel Bukan y makin baik malah makin gak guna"
Danias Hendrawan,1,10/21/2023 21:57,"Aplikasinya bagus tapi sayang jaringan internet nya buruk, sudah konsultasi pun tidak memuaskan dan tidak membantu jaringan internet saya lebih bagus beli paket internet tidak bisa terpakai padahal saya sudah lama menggunakan Telkomsel apa lagi saya ada di daerah perkotaan"
Kartika Alifia,2,10/25/2023 9:43,"Min aplikasi MyTelkomsel saya ga bisa dibuka sejak kemarin kemarin, padahal saya udah restart hp bahkan sampe install ulang aplikasi ini masih gabisa dibuka juga, kata notifnya ""MyTelkomsel terhenti"" itu error emang dari hp saya atau aplikasinya ya. Tolong pihak developer kasih solusi huhuu:("
Nur Lailah,2,10/17/2023 10:05,"saya membeli paket internet tidak dapat diproses melalui aplikasi, sudah beberapa hari, dan hanya bisa melakukan pembelian di *363#, jadi aplikasi tidak bisa digunakan sebagaimana mestinya, emang paling bener ga gunain aplikasi."
Muhammad Adam,1,10/17/2023 16:20,"Saya merasa dirugikan dengan kuota super seru, awalnya saya tertarik pulsa 150.000 dapat kuota 100 GB, akhirnya saya beli pulsa, tapi saat saya mau membeli kuota super seru , malah dibilang pulsa saya tidak mencukupi padahal jelas2 pulsa saya 150.000,mohon di tindaklanjuti"
Asaji Fathoni,4,10/21/2023 18:17,Mohon untuk progres pengajuan reaktivasi kartu yang hangus bisa dipercepat dan tombol untuk memasukkan nomor reaktivasi ada sedikit bug bilamana ditekan tidak keluar keywordnya
Razan Athaillah PW,1,10/26/2023 23:10,"Kenapa aplikasi Mytelkomsel saya tidak bisa dibuka ya...selalu muat ulang dan tutup aplikasi..sudah di update jg tetap g bisa..apa ada perbaikan kah....mohon tanggapanya....,😔😔"
Aqifa Nur auliah,1,10/26/2023 19:52,"Jaringan ga bagus, pulsa aku tiba"" kurang atau hilang, ga bisa paketan klo masuk SMS lama, kartu ku tiba"" ga bisa di gunakan padahal pulsanya selalu ada dan hri Senin lalu baru ku isi"
Yearshe Tatiansyah,2,10/16/2023 20:15,"Ini bagaimana aplikasinya ko jadi ga bisa dibuka, tutup aplikasi terus udh update juga masih ttp aja ga bisa, awalnya aja lancar aplikasinya ko kesininya trouble.."
juli poca,1,10/4/2023 13:41,"Setelah update aplikasinya tambah beban, belum lagi isi pulsa /transfer pulsa sering hilang. Padahal ada notifikasi berhasil, tapi pulsa tetap ngga masuk juga. Sudah beberapa kali terjadi dan sudah ganti nomor pula, tetap saja sama..."
Marcellino A.C,1,10/2/2023 4:32,"Jujur pengalaman saya menggunakan Telkomsel sangat buruk, salah satunya saya sudah beli paket perpanjangan masa aktif, namun ternyata paketan saya tidak mendapat perpanjang dan kuota saya hilang begitu saja. MOHON SARAN INI DIPERTIMBANGKAN UNTUK MENJADI PERBAIKAN LAGI UNTUK TELKOMSEL."
Iral Asrarsyah,1,9/27/2023 0:53,"Setelah update aplikasi malah tidak bisa dibuka. User Telkomsel kan tidak semuanya menggunakan hp hi end. Sebaiknya aplikasinya cukup dibuat simple saja, karena kebanyakan fitur2 lain jg tidak terpakai, back to basic is better."
Rifqi Zidan H,1,10/27/2023 21:02,"Apa sih ini telkomsel? Versi sebelumnya udah berat, Update sekarang malah gak bisa di buka, terus berhenti di Xiaomi redmi note4 Tolong dong telkomsel udah nyaman, masa mau di tinggal pas sayang sayang nya"
rimma eva,5,10/24/2023 11:22,"Sangat membantu pelanggan pengguna telkomsel utk melihat semua info yg dibutuhkan (melihat sisa kuota/pun pulsa), bs jg lgsg membeli kuota dr aplikasi MyTelkomsel ini."
Nuha Nuhi,1,10/27/2023 1:25,"Baru sadar,, kalau beli pulsa dapat penambahan masa tenggang dihitung dari tanggal pembelian,,bukan di akumulasi dengan masa aktif terakhir Sangat konyol dan merugikan,sangat kecewa"
Maybriella Kimberly,5,10/19/2023 7:00,"Pasang my telkomsel membantu banget soalnya klu beli pulsa di apps ini nggak kena admin. Dan fitur pembayarannya sudah pake dompet digital, membantu banget juga klu mau beli kuota karena pilihannya lebih beragam. Dibanding di toko online mending pake apk ini sih. Dan bisa add on kuota asal pulsanya mencukupi."
૨ιzƙι ૨ιąתɖą,1,10/21/2023 16:57,"Paket doang harganya mahal, saat pembelian lama banget prosesnya khususnya buat paket promo hanya untukmu, belum lagi jaringan yang suka tiba-tiba hilang"
Cut Nuratia,1,10/22/2023 11:47,"Semenjak update lagi semakin tambah mahal paket yg ada di my Telkomsel padahal sebelum nya jauh lebih murah dan jaringan sering lelet. Banyak masyarakat yg kecewa kenapa sekarang paket semakin hari semakin mahal, kami yg rakyat susah sangat memerlukan internet ditambah susah lagi mencari uang hanya untuk membeli paket yg sekarang tambah mahal. Semoga pihak my Telkomsel lebih memperhatikan lagi apk yg banyak sekali dipakai oleh masyarakat ini."
Leo Agri,1,10/23/2023 22:30,"Semakin hari semakin parah jaringan Telkomsel, harga paket selangit nggak sebanding sama kualitas jaringannya, cuma buka story wa pun susah sekali."
Ryon,1,10/13/2023 11:39,"Harap segera diperbaiki, Saya mengalami kendala dalam membuka aplikasi Telkomsel di perangkat Oppo A3s, Aplikasi tidak muncul di play store dan saya harus mengunduhnya dari App Market. Berhasil login dengan nomor Telkomsel yang digunakan namun ketika aplikasi dibuka, pada animasi transisi awal terjadi freeze dan langsung force close, sudah saya coba berulang kali instal uninstall hingga restart HP, tim developer harap bertanggung jawab dan segera memberikan solusi untuk error yang saya alami"
nurayatul. husna,1,10/28/2023 17:42,"Ini agak buruk saya sudah lama mendonload telkomsel setelah update sudah tidak bisa masuk/login di telkomsel(setiap mau masuk selalu ada tulisan terjadi masalah terhadap telkomsel),sudah hapus lalu donload ulang namun hasinnya masih sama"
Muhammad Azmi Adipratama,1,10/26/2023 8:20,App semakin berat tidak seperti versi sebelumnya.. selalu loading padahal sinyal bagus lancar jaya ... Tolong perbaiki lagi ...
wahyu wibowo,1,10/22/2023 4:39,Update bukannya tambah smooth malah forceclose mulu. Gimana cara cek quota? Gimana cara pantau detail pemakaian quota? Sdh lbh dr 1minggu gk ada perubahan. Payah
nana rizkiana,1,9/12/2023 15:45,Paketnya memang ada yang murah tapi kebanyakan berbagi kuotanya. Sudah begitu kuota terbagi gak bisa dipakai semuanya malah kuota utama yang habis. Setelah itu kuota youtube dan kuota nonton misalnya sudah tidak bisa digunakan padahal masih banyak. Bad Provider!
Frenki Katiandagho,1,10/24/2023 12:44,"Aplikasinya lelet, terlalu banyak loading sampahnya, kayak gak pernah diupdate. Pakai aplikasi ini serasa di hacking, super lelet"
Owh Gtu yh,1,10/26/2023 22:43,Payah lemot banget nih apk masa harga doang yg mahal TPI lemot banget...bahkan buat ngecek kuota aja agk susah sekarang padahal udh versi terbaru apk nya..dan juga hpku juga bukan hp kentang..bahkan bisa dibilang buat apk kek ginian mah seharusnya tidak terlalu berat eh malah apk nya yg bikin berat sendiri..semoga kedepannya diperbaiki dalam segala hal
Akhmad Fikri Renaldi,1,10/27/2023 12:27,Udb aplikasinya berat di ram 2 Paket internet mahal sinyal nya lelet. Tolong dong dibuat lebih ringan aplikasinya untuk yg ram 2 agar kmi bisa leluasa menggunakannya
Pengguna Google,1,10/5/2023 22:54,Kok aplikasi sekarang udah ngak bisa di gunain sih aku tambah susah untuk membeli paket setiap kita buka aplikasi notif muncul sistem my TELKOMSEL mematikan aplikasi karna aplikasi mengalami crash padahal udah lama kita jadi pelanggan TELKOMSEL kok akhir akhir ini sering terjadi masalah sih
Adi Maulana,1,10/28/2023 14:16,"Sebelumnya saya memiliki paket data yang sudah sekarat, tepat di hari masa habisnya saya membeli paket data baru lagi, namun esoknya semua itu hilang, padahal harusnya bisa bertahan hingga 1 bulan ke depan lagi, apa ini gak ada sistem menumpuk dan hanya mengisi kuotanya namun tidak dengan masa habisnya?"
Muhammad Wahid,5,10/24/2023 10:07,"Soal jaringan mantap pokoknya terus seperti ini jangan turun soal jaringan nya REKOMENDASI Untuk TopUp gamenya tambahkan lagi min🙏🏻 PUBG MOBILE, ROBLOX, DLL juga tolong di tambah, saya kasi bintang 5 ni"
Cloud Strife,1,10/2/2023 9:33,"Setelah update aplikasi menjadi terbaru yaitu menjadi v 7.1.0 aplikasi selalu force closed sendiri. Sudah menghubungi cs via email hanya di kirim link via sms, aplikasi masih tetap tertutup sendiri, tidak ada perbaikan dari developer."
KoRA,1,9/25/2023 21:04,"Anoo... setelah di update kok apk malah tidak bisa dibuka? Telkomsel sedang bercanda kah? Tolong lah... kalo mau update harus diperhatikan dulu apa saja yg sering digunakan oleh pelanggan, jangan asal muat di apk yg bikin crash... bukannya membantu malah jadi bikin pusing pengguna... bisa dikembalikan saja seperti awal dulu?"
MD zone,1,10/28/2023 20:39,"waduh, gimana ini abis update malah mental terus gk bsa dbuka.. klo bikin aplikasi yg bener lah dev nya, tp emang budeg sih dari dulu juga, ngeluh juga yg jawab malah bot, pantesan pada 'oon"
0141.M Donny Darmawan,1,9/24/2023 14:28,"habis update terbaru berat banget aneh mau beli paket selalu error sinyalnya anehh masa harus 4g+++++ bar nya full 4 ngurang 1 bar aja gabisa,, masa setiap mau beli paket data harus naik tangga ke atap rumah biar sinyal 4g++++++++++ bar nya full BARU BISA BELI PAKET, kalo GA 4G++++++ DAN BAR KURANG 1 AUTO GABISA BELI PAKET!!!!!"
Leo Susilo,3,10/11/2023 13:17,"Waduh...android Sy TDK bisa buka aplikasi mytelkomsel setelah update. Ya mungkin android Sy masih Spec yg rendah, jadi setiap loading selalu gagal, alhasil skrg TDK bisa menggunakan aplikasi mytelkomsel. Susah nih mau Topup paketan. Lanjut atau hengkang ini..."
AS'03 CHANNEL,4,10/26/2023 18:05,"Tiada ciptaan sempurna kecuali ciptaan Allah, makasih buat TELKOMSEL telah menemani keseharian ku mulai dari berkomunikasi telpon ataupun internet sejak tahun 2016 sampe sekarang masi pakai Telkomsel dan makasih juga semenjak saya pakai Telkomsel selalu ada banyak promo paket murah"" untuk setiap nomor saya, saya harap promo itu selalu berlaku buat saya makasih Telkomsel."
Nabilah Hakim,2,9/27/2023 22:03,"Sepertinya terdapat bug, padahal baru di update sebelumnya... 1. Udh beli kuota lebih dari 90k tp gk masuk ke hadiah premium di stamp berhadiah 2. Poin baru masuk setelah 2 hari di aplikasi 3. Notif kuota masuknya lama di apk padahla sudah dapat sms 4. Ganti ke nomor telkom lain pada apk suka bermasalah, harus berkali"" bolak-balik klik 2 nomor baru bisa ganti Mohon sebelum di upload sistem barunya dicek lg apakah masih ada bug atau tidak"
Tutik Purwanti,1,10/26/2023 17:26,Sering error tidak dapat login padahal sudah bersihkan cache riwayat unduhan sampai instal ulang tetap tdk bisa login. Nyesel instal apk ini. Ribet
Ebit Daniel Tamba,1,10/29/2023 0:36,"1. Pelaporan jaringan jelek di lokasi rumah uda 3 tahun tidak di indahkan. 2. Teknik yang ""SANGAT MENGERIKAN"" dari telkomsel. ini yang saya alami dari beberapa menit yang lalu dari saya edit ulasan ini * pada aplikasi tertera pulsa dengan total 8k-an * pada aplikasi tertera kuota yang akan kadaluarsa hari ini sebanyak 6GB * saya gunakan layanan internya dengan harapan memakai sisa kuota * dalam sekejap pulsa sudah habis dan kuota yang tampil juga sudah habis dalam hitungan 10 detik"
Dhani Bae,2,10/27/2023 14:46,kenapa ini semalem saya habis isi pulsa tapi pas mau paketin malah pulsa nya hangus padahal jaringan nya bagus tapi sayang nya pas saya mau cek kuota/pulsa malah gangguan tolong di perbaiki lh
Ari Zakaria,2,10/26/2023 12:35,"Mohon maaf kak, mau nanya kenapaya ketika mau top up pulsa tidak mencukupi padahal pulsa saya sudah mencukupi apakah itu bug, gangguan, atau apa mohon balas ya ka"
Eko Budiarto,1,10/25/2023 20:16,"kok habis di update malah ngebug? sebentar sebentar update tapi kok malah tambah berat, apakah TELKOMSEL pikir yang pake hp di negara ini ram nya tinggi? nggak kasihan kah sama user hp ram rendah"
Asir Jr,3,10/26/2023 20:11,"Parah nih apk jaringan bagus tapi loading nya lama banget tolong di perbaiki lagi dong,, aslinya saya suka sama apk nya tapi klo banyak bug nya kaya bikin kesal jga!!!"
Muhammad noor Mnoor,1,10/28/2023 12:29,"Jaringan sangat lemot,nyesel beli kartu Telkom dulu gada cepet""nya apalagi setelah update malah makin gajelas sinyal hilang tiba"".kadangkan bikin kesel ko jaringan lemot,mending ganti kartu aja kalo gini🤦"
Ahmad Azmul Fuadi,1,10/19/2023 23:33,"Saya tau ini rating buat aplikasinya , Cuman keterkaitan dengan koentivitas dan stabilitas jaringan untuk daerah saya masih sangat buruk, someday akan saya ubah kalo memang 4G disini bisa stabil dan lancar, ga muluk² ke 5G, 4G aja dulu distabilkan , trims 🙏🏻 * Di update malah makin lemot jaringan buat akses appsnya"
Alibrah Smpit,1,10/2/2023 16:11,Setelah di update aplikasi malah tidak bisa d buka. Setiap akan di buka selalu ada tukisan aplikasi terhenti. Sudah d instal ulang dan sudah d muat ulang masih tetep saja tidak bisa dibuka
Fajar Ap,1,10/15/2023 14:13,"Gimana ini setelah diupdate kok keluar terus? Baru masuk ke aplikasinya ngestuck terus langsung keluar terus, dicoba beberapa kali gitu terus, ayolah diperbaiki developer masa baru update aja gini, padahal sebelum update aja normal, eh pas di update kok jadi gini, mending gausah diupdate kalo tau gini TOLONG DI PERBAIKI........!!!!!!!!!!!"
Agung Prasetyo,1,10/26/2023 9:33,"Cek dulu tuh vendor yg bikin aplikasi jadi ruwet kyk skrg ini. Mau di restart, install ulang gk bakal lancar. Kalo pake jaringan telkomsat atau inmarsat mgkn bisa buka kali ya."
Eddie Widodo,1,10/22/2023 9:09,telkomsel gak jelas.. semakin lama di pakai semakin mahal paketnya sebelum isi pulsa cek paket bisa sesudah isi pulsa cek paket gk bisa lewat aplikasi harga paket di naikin semua.
Junaidi Cahaya,1,10/23/2023 18:11,Sinyal nya kok makin lama makin parah jaringan nya suka ilang ilangan. Buat game aza susah main nya lah klw lelet.hubungin mimin aza nggak bakal nyelesain masalah jaringn main game ML aza susah sinyal nya.
Buya Okan,1,10/10/2023 8:49,"Aplikasi berat, ngecek kuota lemot, beli pulsa via Shopee pay malah ujung2nya masuk ke google Play Store.. Eh, malah masuk SMS ""Pembayaran anda belum berhasil. Silahkan mencoba beberapa saat lagi"".. Aplikasi masyuk angin.. Beli kartu lain aja dah sementara ini.."
Kohar Udin,1,9/15/2023 3:44,"Parah, masa semenjak update ke yg terbaru malah apk nya ga bisa kebuka..my Telkomsel nya telah berhenti terus menerus, padahal sudah hapus cache di pengaturan aplikasi, sudah restart hp juga, tapi masih tetep ga bisa di buka..tolong dong solusi nya dari dua hari lalu ini apk ga bisa di buka, di tolak terus karena apk telah berhenti. Perkara update malah ga bisa di buka"
Elvira Sundari,2,9/26/2023 18:07,Selalu minta update tapi kualitas masih tetap jelek. Ngelag parah. Sudah ada SMS peringatan paket sudah habis tapi di aplikasi masih tertulis ada paket internet. Kok ngga sinkron gitu? Terlalu banyak bug. Pemilihan paket makin mahal tapi aplikasi masih kaya aplikasi odong².
Dirga Bae,1,10/25/2023 22:29,Untuk kualitas apk oke.tapi kualitas sinyal super jelek ngeleg 2 kali 1 menit gk cocok untuk main game emosian. Yang ada hp yang jadi sasaran gara gara sinyal ngeleg
Rudy Efendy,1,10/16/2023 19:46,"Selalu sabar dengan sinyal yang jelek... Dan tidak ada perubahan.. Sekelas Telkomsel ko sinyal ny jelek... Ap lagi saya pake paket combo sakti tambah jelek sinyal ny, saya harap ada perubahan di jaringannya yg lebih baik, jangan harap bisa main game dengan lancar pake Telkomsel..."
Mugi Hartani,1,10/20/2023 20:22,"1 bulan ini beli pulsa 100 rb untuk 3 nomor, saya tidak merasa aktivasi paket, tiba tiba teraktifasi sendiri, 100 rb cuma dpt 12GB padahal biasanya 35 GB minimal, komplain ke CS gak ada solusi, kaya gt apa gak sama aja kaya nipu! Padahal pakai telkomsel dah lama. Kalau ada rating minus, langsung saya kasih - 10. Tolong di perbaiki"
taufik rahman,1,10/22/2023 14:39,"Makin parah sulit dapat sinyal. Sekelas nusa dua bali aja sulit. Terutama disekitaran puja mandala. Saya gak mau menghubungi call centre, apk harus ngerti sendiri penanganannya."
Tm Aisyah,1,10/19/2023 8:10,"setelah di update aplikasi nya jadi aneh , sudah beli pulsa tapi tidak terdeteks padahal di pesen sudah ada pemberitahuan pulsa masuk , di refresh ulang beberapa kali pun tidak muncul""gimna sihh jadi gak jelas banget aplikasi nya"
Yulianti Wahyuni,1,10/11/2023 21:18,Semenjak di update terbaru. Aplikasi ini susah di buka. Suka kembali dengan sendirinya seperti berat untuk membukanya. Mungkin hp saya nya hp kentang. Tapi alangkah lebih baik bisa di buka di hp kentang seperti punya saya. Semoga bisa di perbaiki. Dan agar dapat ter jangkau oleh kalangan bawah. Tks
Robby Andreas,2,10/12/2023 7:32,"Setelah update, harga paket semakin mencekik, terlalu mahal mau gak mau tetap harus beralih ke provider sebelah utk internetan. Kualitas signal memang terbaik, tapi kalo semakin hari semakin ngelunjak gini ya pelanggan ttp akan cari alternatif lain yang tidak merusak budget plan."
Rayhan Nathan,2,9/27/2023 17:47,Knpa ya skrang habis di update malah ga bisa masuk2 ke aplikasi nya Telkomsel nya . Biasa di-update sebelum nya baik2 aja . Skrang malah force close. Terus . Mau masuk aplikasi nya ...tolong diperbaiki supaya ga kendala bwat masuk aplikasi my Telkomsel nya . Makasih ...🙏🙏😊😊
Fathul Arief,1,9/18/2023 19:31,"Aplikasi yang aneh, belom masuk sudah keluar, 😂🤦‍♂, padahal sudah di uninstal dan di instal berkali kali, Ditambah harga paketnya yang 30 hari jadi mahal mahal, dan belum habis kuota, sudah habis masa aktif 🤦‍♂😂 benar benar bisnis yang menguntungkan bagi TELKOMSEL"
lailatul fitria,1,10/20/2023 22:17,"Aku update malah gabisa di buka. Bingung mau beli paketan gabisa, pas habis juga ini, gimana dong solusinya .ke grapari terdekat bisa gk ya minta di benerin"
Kinan Anantha,1,10/22/2023 11:13,"Setelah di update gw yg gaptek ini makin bingung, liat kapan habis pulsa terpakai brp datanya ga tau entah kmn ... signyal lunglap kyk pocong Fiturnya terlalu kekinian nmun membingungkan, yg simple aja tapi jelas"
Dodi 3D,2,10/29/2023 9:02,"Kok aplikasi nya jadi berat gini si, scrol pun ngelag lohh.... Interface ga usah bagus2 amat dah, yg simpel2 aja yaelahh.. Maaf tak turunin bintang nya, kalo udah di benerin saya kasih 5 bintang"
JOGETS,1,10/22/2023 1:12,"Ini apk ga jelas lemot bgt, dan juga ada kuota gratis knp yg kepake kuota utama? gimana coba, yg jelas lah sistemnya. Malu""in"
Ridwan Otomotif,1,10/25/2023 4:30,Aplikasi setelah di update malah ga bisa masuk keluar sendiri terus haddeh gimana sih ini malah makin payah bukan makin membaik. maaf kasih bintang 1 dulu kalo sudah bener baru saya tambahin bintang nya.
Labib Fayumi,2,9/13/2023 21:37,"Memudahkan dan fasilitasnya lumayan. Mohon maaf, saya sudah sekian lama nyaman dengan app ini. Namun, sejak update yang terakhir, app ini menjadi tidak stabil. Ketika hendak masuk, app langsung menutup tanpa ada notifikasi apapun. Kalau pun membutuhkan system requirement yang lebih tinggi, harap diberikan rincian secara jelas. Terima kasih."
Suad,1,9/20/2023 7:15,"Maaf ya bintang saya turunkan, aplikasi sebelum update bisa buka walupun sangat lemot ,setelah update aplikasi malah tidak bisa buka. Yangse harusnya bisa mempermudah untuk semua kalangan menengah kebawah."
Hadi Darmawan,1,10/20/2023 8:33,"Paket mahal & dibagi-bagi, tetap saja paket internetnya tersedot lebih besar. 🤦‍♂️ Banyak ga terpakainya & ga penting sosmed, tiktok, ig, dll. 😩"
Stefanus Rino wahyu ardiyanto,1,10/28/2023 13:59,"Malah ga bisa masuk lo telkomsel pasti kalo mau masuk keluar terus gimana sih jadi ga bisa isi paket sama yang lain lain, mau datanya dihapuspun tetep ga bisa masuk"
Jhon Kampai,1,9/13/2023 14:15,"Di upgrade kok gak bisa di buka lagi,, kalau mau update aplikasi mikir lah,, pengguna Telkomsel ini bukan hanya kelas elite,,bisa lu cek dlapangan, banyak yg pake kelas menengah ke bawah,, KALAU MAU BUAT UNTUK KAUM ELITE BUAT AJA KHUSUS APLIKASI UNTUK MEREKA,JADI YA MEREKA2 AJA YANG BISA MENGGUNAKANNYA,balikin lagi lah ke versi sebelumnya, walaupun lelet masih bisa di buka, kalau gak di tanggapi juga mending di hapus aplikasi ini,dipasang gak ada guna buat apa,, TELKOMSEL BELLE..."
Reymon Octavio,1,9/27/2023 20:10,"Setelah update pada 27Sep23, aplikasinya langsung force close tiap loading menu. Dibuka lagi, masih juga kek gitu. Setelah restart HP, masalahnya masih sama. Udah dicoba download n install ulang aplikasi, masalahnya masih sama juga."
